Title,Category,Price,Original_Price,Reviews_Summary,Release_Date
Battlefield™ 6,Action,$59.49,$69.99,Mostly Positive,"
                    Oct 10, 2025                "
Cyberpunk 2077,Action,$20.99,$59.99,Very Positive,"
                    Dec 9, 2020                "
Risk of Rain 2,Action,$8.24,$24.99,Overwhelmingly Positive,"
                    Aug 11, 2020                "
"Warhammer 40,000: Darktide",Action,$9.99,$39.99,Mostly Positive,"
                    Nov 30, 2022                "
Mount & Blade II: Bannerlord,Action,$24.99,$49.99,Very Positive,"
                    Oct 25, 2022                "
Red Dead Redemption 2,Action,$14.99,$59.99,Very Positive,"
                    Dec 5, 2019                "
"Warhammer 40,000: Space Marine 2",Action,$23.99,$59.99,Very Positive,"
                    Sep 9, 2024                "
Grand Theft Auto V Enhanced,Action,$14.99,$29.99,Mostly Positive,"
                    Mar 4, 2025                "
Call of Duty®: Black Ops III,Action,$19.79,$59.99,Very Positive,"
                    Nov 5, 2015                "
Mount & Blade II: Bannerlord - War Sails,Action,$22.49,$24.99,Mixed,"
                    Nov 26, 2025                "
Cyberpunk 2077: Phantom Liberty,Action,$20.99,$29.99,Very Positive,"
                    Sep 25, 2023                "
MARVEL Cosmic Invasion,Action,$26.99,$29.99,Very Positive,"
                    Dec 1, 2025                "
Hogwarts Legacy,Action,$8.99,$59.99,Very Positive,"
                    Feb 10, 2023                "
Split Fiction,Action,$39.99,$49.99,Overwhelmingly Positive,"
                    Mar 6, 2025                "
Red Dead Redemption,Action,$24.99,$49.99,Very Positive,"
                    Oct 29, 2024                "
Hearts of Iron IV,Action,$14.99,$49.99,Very Positive,"
                    Jun 6, 2016                "
Borderlands 4,Action,$55.99,$69.99,Mixed,"
                    Sep 11, 2025                "
The Witcher 3: Wild Hunt,Action,$3.99,$39.99,Overwhelmingly Positive,"
                    May 18, 2015                "
DARK SOULS™ III,Action,$29.99,$59.99,Very Positive,"
                    Apr 11, 2016                "
Diablo® IV,Action,$24.99,$49.99,Mostly Positive,"
                    Oct 7, 2024                "
SILENT HILL f,Action,$55.99,$69.99,Very Positive,"
                    Sep 24, 2025                "
Total War: WARHAMMER III,Action,$14.99,$59.99,Mixed,"
                    Feb 16, 2022                "
Call of Duty®: Black Ops II,Action,$19.79,$59.99,Very Positive,"
                    Nov 12, 2012                "
Sekiro™: Shadows Die Twice - GOTY Edition,Action,$29.99,$59.99,Very Positive,"
                    Mar 21, 2019                "
SILENT HILL 2,Action,$34.99,$69.99,Overwhelmingly Positive,"
                    Oct 7, 2024                "
Tom Clancy’s The Division® 2,Action,$7.49,$29.99,Mostly Positive,"
                    Jan 12, 2023                "
It Takes Two,Action,$9.99,$39.99,Overwhelmingly Positive,"
                    Mar 25, 2021                "
Warhammer: Vermintide 2,Action,$1.49,$29.99,Very Positive,"
                    Mar 8, 2018                "
HITMAN World of Assassination,Action,$27.99,$69.99,Very Positive,"
                    Jan 20, 2022                "
TEKKEN 8,Action,$27.99,$69.99,Mixed,"
                    Jan 25, 2024                "
DARK SOULS™: REMASTERED,Action,$19.99,$39.99,Very Positive,"
                    May 23, 2018                "
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,Action,$8.99,$29.99,Very Positive,"
                    May 16, 2022                "
METAL GEAR SOLID Δ: SNAKE EATER,Action,$48.99,$69.99,Very Positive,"
                    Aug 28, 2025                "
Core Keeper,Action,$11.99,$19.99,Very Positive,"
                    Aug 27, 2024                "
Risk of Rain 2: Seekers of the Storm,Action,$9.74,$14.99,Mixed,"
                    Aug 27, 2024                "
Dead Space,Action,$8.99,$59.99,Very Positive,"
                    Jan 27, 2023                "
Necesse,Action,$9.74,$14.99,Very Positive,"
                    Oct 16, 2025                "
Fellowship,Action,$19.99,$24.99,Mostly Positive,"
                    Oct 16, 2025                "
STAR WARS Jedi: Survivor™,Action,$10.49,$69.99,Mixed,"
                    Apr 27, 2023                "
Mortal Kombat 1,Action,$9.99,$49.99,Mostly Positive,"
                    Sep 19, 2023                "
Call of Duty®: Black Ops,Action,$19.99,$39.99,Very Positive,"
                    Nov 9, 2010                "
Crime Simulator,Action,$10.49,$14.99,Very Positive,"
                    Jun 17, 2025                "
Moonlighter 2: The Endless Vault,Action,$24.89,$29.99,Very Positive,"
                    Nov 19, 2025                "
Elite Dangerous,Action,$5.99,$19.99,Mostly Positive,"
                    Apr 2, 2015                "
Outer Wilds,Action,$14.99,$24.99,Overwhelmingly Positive,"
                    Jun 18, 2020                "
Company of Heroes 3,Action,$23.99,$59.99,Mixed,"
                    Feb 23, 2023                "
Total War: WARHAMMER II,Action,$14.99,$59.99,Very Positive,"
                    Sep 28, 2017                "
Batman™: Arkham Knight,Action,$3.99,$19.99,Very Positive,"
                    Jun 23, 2015                "
Risk of Rain 2: Survivors of the Void,Action,$9.74,$14.99,Very Positive,"
                    Mar 1, 2022                "
Tom Clancy's Ghost Recon® Breakpoint,Action,$5.99,$59.99,Mostly Positive,"
                    Jan 23, 2023                "
Call of Duty®: Black Ops 6,Action,$34.99,$69.99,Mixed,"
                    Nov 1, 2024                "
DARK SOULS™ II: Scholar of the First Sin,Action,$19.99,$39.99,Very Positive,"
                    Apr 1, 2015                "
Stray,Action,$17.99,$29.99,Overwhelmingly Positive,"
                    Jul 19, 2022                "
Arma 3,Action,$7.49,$29.99,Very Positive,"
                    Sep 12, 2013                "
Garry's Mod,Action,$4.99,$9.99,Overwhelmingly Positive,"
                    Nov 29, 2006                "
Hell Let Loose,Action,$12.49,$49.99,Very Positive,"
                    Jul 27, 2021                "
Space Engineers,Action,$9.99,$19.99,Very Positive,"
                    Feb 28, 2019                "
Borderlands 3,Action,$5.99,$59.99,Very Positive,"
                    Mar 13, 2020                "
Avatar: Frontiers of Pandora™,Action,$26.99,$29.99,Mostly Positive,"
                    Jun 17, 2024                "
Mass Effect™ Legendary Edition,Action,$5.99,$59.99,Very Positive,"
                    May 14, 2021                "
Total War: WARHAMMER,Action,$14.99,$59.99,Very Positive,"
                    May 24, 2016                "
DRAGON BALL: Sparking! ZERO,Action,$59.99,$99.99,Very Positive,"
                    Oct 10, 2024                "
DEATH STRANDING DIRECTOR'S CUT,Action,$15.99,$39.99,Very Positive,"
                    Mar 30, 2022                "
Middle-earth™: Shadow of War™,Action,$4.99,$49.99,Very Positive,"
                    Oct 9, 2017                "
Tempest Rising,Action,$25.99,$39.99,Very Positive,"
                    Apr 24, 2025                "
High On Life,Action,$15.99,$39.99,Very Positive,"
                    Dec 13, 2022                "
Like a Dragon: Infinite Wealth,Action,$20.99,$69.99,Very Positive,"
                    Jan 25, 2024                "
Pacific Drive,Action,$11.99,$29.99,Very Positive,"
                    Feb 21, 2024                "
Overcooked! 2,Action,$9.69,$48.49,Very Positive,"
                    Aug 7, 2018                "
Call of Duty®: Infinite Warfare,Action,$19.79,$59.99,Mixed,"
                    Nov 3, 2016                "
Monsters are Coming! Rock & Road,Action,$8.09,$8.99,Mostly Positive,"
                    Nov 20, 2025                "
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,Action,$41.99,$59.99,Very Positive,"
                    Aug 5, 2025                "
"Warhammer 40,000: Darktide - Arbites Class",Action,$8.99,$11.99,Mixed,"
                    Jun 23, 2025                "
Total War: THREE KINGDOMS,Action,$11.99,$59.99,Very Positive,"
                    May 23, 2019                "
GTFO,Action,$13.99,$39.99,Very Positive,"
                    Dec 9, 2021                "
Yakuza 0,Action,$10.99,$19.99,Overwhelmingly Positive,"
                    Aug 1, 2018                "
Company of Heroes 3: Endure & Defy,Action,$22.49,$24.99,Very Positive,"
                    Nov 27, 2025                "
Of Ash and Steel,Action,$23.99,$29.99,Mixed,"
                    Nov 24, 2025                "
Among Us,Action,$2.99,$4.99,Very Positive,"
                    Nov 16, 2018                "
Borderlands 2,Action,$4.99,$19.99,Very Positive,"
                    Sep 17, 2012                "
STAR WARS Jedi: Fallen Order™,Action,$3.99,$39.99,Very Positive,"
                    Nov 14, 2019                "
SONIC X SHADOW GENERATIONS,Action,$24.99,$49.99,Overwhelmingly Positive,"
                    Oct 24, 2024                "
Call of Duty®: Black Ops Cold War,Action,$19.79,$59.99,Very Positive,"
                    Mar 8, 2023                "
Far Cry® 6,Action,$11.99,$59.99,Mixed,"
                    May 11, 2023                "
Like a Dragon: Pirate Yakuza in Hawaii,Action,$29.99,$59.99,Very Positive,"
                    Feb 20, 2025                "
Cursed Companions,Action,$8.09,$8.99,Very Positive,"
                    Nov 20, 2025                "
Total War: ROME II - Emperor Edition,Action,$11.99,$59.99,Very Positive,"
                    Sep 2, 2013                "
Call of Duty®: Modern Warfare®,Action,$19.79,$59.99,Very Positive,"
                    Mar 8, 2023                "
Atomic Heart,Action,$17.99,$59.99,Mostly Positive,"
                    Feb 20, 2023                "
Granblue Fantasy: Relink,Action,$23.99,$59.99,Very Positive,"
                    Jan 31, 2024                "
Granblue Fantasy Versus: Rising,Action,$14.99,$49.99,Very Positive,"
                    Dec 13, 2023                "
Titanfall® 2,Action,$4.49,$29.99,Overwhelmingly Positive,"
                    Jun 18, 2020                "
Cronos: The New Dawn,Action,$58.63,$101.98,Very Positive,"
                    Sep 5, 2025                "
Baby Steps,Action,$14.99,$19.99,Very Positive,"
                    Sep 23, 2025                "
Call of Duty®: WWII,Action,$19.79,$59.99,Mixed,"
                    Nov 2, 2017                "
Watch_Dogs® 2,Action,$4.99,$49.99,Very Positive,"
                    Nov 28, 2016                "
